INV000880294V10000554500120014001202609102N1000001890000461890000008729721USDR01                    
INV000880117V10000934500120006001202609232N1000003740000631570000023620718USDR01                    
INV000880133V10001094500120007001202609142N1000002200000531810000011699820USDR01                    
INV000880752V10000934500120103001202609142N1000000120000019990000000023988USDR01                    
INV000880384V10001094500120017001202609171N1500000540000574980000003104892USDR01                    
INV000880011V10000174500120000001202609092N1000003690000739762800027297247USDR01                    
INV000880137V1000116450012000800120260919N30 00002130000562150000011973795USDR01                    
INV000880114V1000062450012000500120260912N60 00002110000315442400006655834USDR01                    
INV000880633V1000017450012003000120260917N30 00001770000603562400010683054USDR01                    
INV000880510V10000554500120024001202609201N1500000060000294000000000176400USDR01                    
INV000881014V1000031450012011200120260919N30 00000100000012345600000012347USDR01                    
INV000880462V1000031450012002200120260918N30 00002220000658580000014620476USDR01                    
INV000880491V1000048450012002300120260922N30 00002150000385320000008284380USDR01                    
INV000880272V10000484500120013001202609232N1000002530000257060000006503618USDR01                    
INV000880074V10000484500120003001202609121N1500003640000474040000017255056USDR01                    
INV000881028V1000031450012011200120260919N30 00000100000012345600000012346USDR01                    
INV000880016V1000024450012000100120260921N30 00003330000349600000011641680USDR01                    
INV000880911V1000123450012010800120260919N30 00000030000088000000000026400USDR01                    
INV000880412V1000123450012001900120260910N60 00002510000507050000012726955USDR01                    
INV000880707V1000048450012003300120260919N60 00001020000366050000003733710USDR01                    
INV000880807V1000079450012010600120260919N30 00000080000054100000000043280USDR01                    
INV000880569V10001094500120027001202609092N1000000890000882740000007856386USDR01                    
INV000880393V1000116450012001800120260919N45 00001160000174310000002021996USDR01                    
INV000880779V1000024450012010500120260919N30 00000200000002370000000004740USDR01                    
INV000881162V1000109450012011600120260919N45 00000010000003366700000000336USDR01                    
INV000880877V1000116450012010800220260919N30 00000030000088000000000026400USDR01                    
INV000880995V1000031450012011100120260919N90 00000250000027500000000068750USDR01                    
INV000880779V1000024450012010500120260919N30 00000200000002370000000004740USDR01                    
INV000881049V1000048450012011400120260920N30 00000180000129000000000232200USDR01                    
INV000880161V1000123450012000900120260914N30 00002520000457000000011516400USDR01                    
INV000880043V1000031450012000200120260923N30 00001230000585100000007196730USDR01                    
INV000881114V1000062450012011500120260919N30 00000200000075760000000151520USDR01                    
INV000881034V10000484500120113001202609212N1000000050000499000000000249500USDR01                    
INV000880979V1000123450012011000120260919N30 00000060000315000000000189000USDR01                    
INV000881131V1000109450012011600120260919N45 00001000000003366600000033666USDR01                    
INV000880362V1000093450012001600120260913N30 00003430000256610000008801723USDR01                    
INV000880783V9999990450012010500120260919N30 00000010000010000000000001000USDR01                    
INV000880452V10000244500120021001202609102N1000002450000649130000015903685USDR01                    
INV000880077V1000055450012000400120260910N45 00003300000297820000009828060USDR01                    
INV000880418V10000174500120020001202609182N1000002610000390677000010196669USDR01                    
INV000880666V10000244500120031001202609231N1500001790000367850000006584515USDR01                    
INV000880586V10001164500120028001202609232N1000002010000330750000006648075USDR01                    
INV000880189V10000174500120010001202609201N1500002260000546761600012356812USDR01                    
INV000881109V1000062450012011500120260919N30 00000200000075750000000151500USDR01                    
INV000880543V1000093450012002600120260921N60 00003790000249650000009461735USDR01                    
INV000880830V1000086450012010700120260919N30 00000080000014100000000011280USDR01                    
INV000880753V10000934500120104001202609132N1000000120000021490000000025788USDR01                    
INV000880524V1000062450012002500120260917N45 00003230000060132800001942289USDR01                    
INV000881061V1000048450012011400120260921N30 00000120000129000000000154800USDR01                    
INV000880608V1000123450012002900120260912N30 00001280000265830000003402624USDR01                    
INV000880727V10000174500120101001202609202N1000000050000246850000000123425USDR01                    
INV000880221V1000024450012001100120260914N45 00003460000230710000007982566USDR01                    
INV000880728V10000554500120102001202609151N1500000100000345650000000345650USDR01                    
INV000880243V1000031450012001200120260909N60 00002480000874820000021695536USDR01                    
INV000880689V1000031450012003200120260911N45 00001370000767480000010514476USDR01                    
INV000880856V1000116450012010800120260919N30 00000300000088000000000264000CADR01                    
INV000881089V1000048450012011400120260922N30 00000010000129000000000012900USDR01                    
INV000880325V1000062450012001500120260912N30 00000840000021971600000184561USDR01                    
INV000880942V1000123450012010900120260919N30 00000060000310000000000186000USDR01                    
